what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1333182543748
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1333182543748
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1333182543749
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1333182543749
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1333182543749
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1333182543749
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1333182543749
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1333182543749
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1333182543749
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1333182543749
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1333182543749
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1333182543749
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1333182543749
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1333182543749
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1333182543749
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1333182543749
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1333182543750
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1333182543750
os,sysinfo,,,"linux",1333182543755
arch,sysinfo,,,"x86",1333182543756
ws,sysinfo,,,"gtk",1333182543756
locale,sysinfo,,,"de_DE",1333182543756
processors,sysinfo,,,"4",1333182543756
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1333182543756
java.runtime.version,sysinfo,,,"1.6.0_23-b23",1333182543756
java.specification.name,sysinfo,,,"Java Platform API Specification",1333182543756
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1333182543756
java.specification.version,sysinfo,,,"1.6",1333182543756
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1333182543756
java.version,sysinfo,,,"1.6.0_23",1333182543756
java.vm.info,sysinfo,,,"mixed mode, sharing",1333182543756
java.vm.name,sysinfo,,,"OpenJDK Client VM",1333182543756
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1333182543756
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1333182543756
java.vm.specification.version,sysinfo,,,"1.0",1333182543756
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1333182543756
java.vm.version,sysinfo,,,"20.0-b11",1333182543756
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1333182543760
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333182548945
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1333182549150
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1333182549179
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1333182549202
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333182554260
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1333182572279
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1333182574964
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1333182574982
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1333182575552
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110815-1438,"org.eclipse.equinox.simpleconfigurator.manipulator",1333182575559
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110815-1438,"org.eclipse.equinox.frameworkadmin",1333182575563
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1333182575744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333182575763
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1333182576236
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1333182576243
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1333182576272
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1333182576297
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1333182576334
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1333182576383
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1333182576422
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1333182584288
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333182595732
